epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,1.572014,0.503917,1.313023,0.630859,0.00120000,53.91
2,1.252015,0.668136,1.273048,0.670117,0.00180000,52.24
3,1.098828,0.741297,1.239985,0.687305,0.00240000,52.26
4,1.018721,0.776954,1.046457,0.772266,0.00300000,52.40
5,0.959920,0.801460,1.029990,0.774414,0.00300000,52.33
6,0.902197,0.828236,1.082308,0.757227,0.00299868,52.23
7,0.858026,0.845553,0.859497,0.848047,0.00299474,52.23
8,0.833298,0.856571,0.939657,0.806055,0.00298817,52.22
9,0.801055,0.872084,0.856861,0.851172,0.00297899,52.23
10,0.783049,0.879340,0.827219,0.859570,0.00296722,52.24
11,0.766978,0.886173,0.813972,0.866602,0.00295287,52.26
12,0.749342,0.893941,0.795147,0.872461,0.00293598,52.32
13,0.732611,0.901420,0.800604,0.867383,0.00291656,52.30
14,0.721791,0.906361,0.811256,0.866406,0.00289466,52.27
15,0.712756,0.909344,0.830380,0.859570,0.00287032,52.30
16,0.697834,0.915687,0.807439,0.875195,0.00284357,52.32
17,0.687590,0.921563,0.757269,0.891797,0.00281446,52.36
18,0.681184,0.923589,0.791650,0.880469,0.00278305,52.28
19,0.673687,0.926928,0.724567,0.906445,0.00274938,52.30
20,0.667198,0.929443,0.756476,0.892773,0.00271353,52.33
21,0.661219,0.933160,0.770354,0.886719,0.00267554,52.31
22,0.651357,0.935697,0.762961,0.894727,0.00263549,52.21
23,0.641232,0.939948,0.747845,0.895898,0.00259345,52.24
24,0.639757,0.940349,0.736418,0.897070,0.00254950,52.32
25,0.631901,0.944311,0.710500,0.911133,0.00250370,52.34
26,0.623173,0.948429,0.733193,0.901172,0.00245614,52.35
27,0.617422,0.951411,0.752826,0.895898,0.00240690,52.31
28,0.618365,0.950298,0.755125,0.889648,0.00235607,52.35
29,0.608999,0.953526,0.741412,0.898242,0.00230374,53.42
30,0.605581,0.955707,0.718344,0.908008,0.00225000,52.62
31,0.599578,0.958244,0.727875,0.903516,0.00219494,53.01
32,0.596706,0.959825,0.717983,0.908789,0.00213867,52.48
33,0.592043,0.961984,0.718001,0.913867,0.00208127,52.45
34,0.590026,0.963141,0.721305,0.910352,0.00202286,53.75
35,0.585710,0.963252,0.732046,0.903320,0.00196353,52.50
36,0.578898,0.966702,0.725070,0.912109,0.00190338,52.47
37,0.571490,0.969240,0.742267,0.899805,0.00184253,52.47
38,0.571396,0.970063,0.701283,0.914844,0.00178107,55.20
39,0.567461,0.971977,0.718535,0.914648,0.00171912,54.38
40,0.565373,0.972512,0.690963,0.917773,0.00165679,52.88
41,0.555252,0.977119,0.739118,0.906445,0.00159419,53.47
42,0.559303,0.975227,0.717603,0.915430,0.00153141,52.35
43,0.552590,0.978343,0.722064,0.909961,0.00146859,52.31
44,0.550771,0.978655,0.721097,0.916211,0.00140581,52.32
45,0.546061,0.981170,0.708350,0.918164,0.00134321,52.28
46,0.543899,0.981682,0.691622,0.924023,0.00128088,52.25
47,0.540470,0.983507,0.700725,0.918359,0.00121893,52.29
48,0.536961,0.985154,0.695634,0.922656,0.00115747,52.41
49,0.533506,0.986645,0.690073,0.926172,0.00109662,52.78
50,0.531530,0.987380,0.698392,0.922656,0.00103647,52.55
51,0.527334,0.989049,0.700687,0.923828,0.00097714,52.56
52,0.527738,0.988493,0.700201,0.921289,0.00091873,52.59
53,0.522885,0.990874,0.690894,0.924023,0.00086133,52.64
54,0.521764,0.991720,0.685354,0.930664,0.00080506,52.62
55,0.520409,0.992054,0.693646,0.926562,0.00075000,52.60
56,0.516974,0.993345,0.681663,0.931055,0.00069626,52.68
57,0.514474,0.994413,0.684051,0.932422,0.00064393,52.66
58,0.513648,0.994458,0.689886,0.928125,0.00059310,52.63
59,0.511893,0.995682,0.669631,0.938086,0.00054386,52.61
60,0.510427,0.996283,0.684011,0.934961,0.00049630,52.63
61,0.509140,0.996817,0.682136,0.933789,0.00045050,52.63
62,0.506837,0.997707,0.672414,0.937305,0.00040655,52.73
63,0.506333,0.997841,0.670358,0.941602,0.00036451,52.69
64,0.505312,0.998509,0.668726,0.937109,0.00032446,52.60
65,0.504960,0.998509,0.667138,0.939258,0.00028647,52.66
66,0.504316,0.998731,0.661979,0.940625,0.00025062,52.64
67,0.503713,0.998998,0.666187,0.940039,0.00021695,52.60
68,0.503433,0.999176,0.654613,0.941406,0.00018554,52.58
69,0.502883,0.999176,0.657111,0.941406,0.00015643,52.57
70,0.502644,0.999488,0.665853,0.938086,0.00012968,52.57
71,0.502306,0.999444,0.660632,0.941992,0.00010534,52.69
72,0.502179,0.999466,0.659135,0.940625,0.00008344,52.62
73,0.501769,0.999711,0.658386,0.943164,0.00006402,52.64
74,0.501659,0.999666,0.657702,0.941797,0.00004713,52.64
75,0.501585,0.999666,0.658068,0.942383,0.00003278,52.61
76,0.501515,0.999800,0.656349,0.943359,0.00002101,52.61
77,0.501331,0.999844,0.656968,0.942187,0.00001183,52.63
78,0.501463,0.999800,0.657039,0.942773,0.00000526,52.62
79,0.501253,0.999866,0.658069,0.942383,0.00000132,52.59
80,0.501210,0.999911,0.656677,0.942773,0.00000000,52.74
