epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,1.641185,0.473157,1.436025,0.573242,0.00120000,33.45
2,1.403016,0.590189,1.289770,0.640820,0.00180000,33.06
3,1.286111,0.649105,1.209145,0.686133,0.00240000,32.80
4,1.217682,0.679999,1.167059,0.698633,0.00300000,33.27
5,1.163877,0.706308,1.091266,0.736523,0.00300000,33.18
6,1.095736,0.737269,1.046335,0.758789,0.00299868,33.59
7,1.042705,0.760795,1.076985,0.742969,0.00299474,32.91
8,1.011391,0.773527,1.027496,0.765820,0.00298817,32.63
9,0.978846,0.790242,1.013403,0.778906,0.00297899,33.09
10,0.948917,0.802150,1.016613,0.777539,0.00296722,32.65
11,0.930561,0.811120,0.961717,0.800977,0.00295287,32.85
12,0.914666,0.818176,0.914427,0.822852,0.00293598,32.59
13,0.897863,0.825543,0.907956,0.817969,0.00291656,33.46
14,0.878503,0.833356,0.901899,0.826953,0.00289466,32.71
15,0.863817,0.840723,0.872886,0.833203,0.00287032,32.81
16,0.852956,0.844306,0.887366,0.829883,0.00284357,33.06
17,0.839668,0.851807,0.910754,0.825195,0.00281446,33.03
18,0.829117,0.855168,0.902587,0.823438,0.00278305,33.33
19,0.819037,0.858707,0.872207,0.834180,0.00274938,32.82
20,0.807295,0.865941,0.882054,0.829883,0.00271353,32.93
21,0.800538,0.867877,0.861823,0.838477,0.00267554,33.09
22,0.792730,0.872552,0.860622,0.844336,0.00263549,33.02
23,0.782467,0.876469,0.904148,0.823828,0.00259345,33.04
24,0.775767,0.880653,0.891743,0.829688,0.00254950,33.07
25,0.766337,0.883859,0.836476,0.849023,0.00250370,33.06
26,0.754251,0.889156,0.889340,0.839648,0.00245614,33.02
27,0.752189,0.889223,0.895501,0.827344,0.00240690,33.05
28,0.738067,0.895744,0.851022,0.846680,0.00235607,33.03
29,0.733653,0.897614,0.829988,0.858008,0.00230374,33.10
30,0.727541,0.901019,0.839544,0.853516,0.00225000,33.08
31,0.713587,0.907385,0.843103,0.852734,0.00219494,33.04
32,0.713341,0.907897,0.871046,0.843750,0.00213867,33.85
33,0.700703,0.913306,0.920535,0.821680,0.00208127,33.03
34,0.699996,0.913239,0.817209,0.867188,0.00202286,33.03
35,0.682673,0.921920,0.863934,0.846094,0.00196353,32.98
36,0.685365,0.918514,0.857515,0.849219,0.00190338,33.00
37,0.668331,0.927751,0.866685,0.852344,0.00184253,33.05
38,0.667700,0.927439,0.850371,0.850781,0.00178107,32.99
39,0.659104,0.929955,0.833895,0.858984,0.00171912,33.03
40,0.650891,0.932982,0.869394,0.848633,0.00165679,33.01
41,0.642752,0.938301,0.824879,0.863086,0.00159419,33.14
42,0.639780,0.939303,0.816885,0.870703,0.00153141,33.02
43,0.627392,0.944066,0.846351,0.864453,0.00146859,33.80
44,0.621695,0.946225,0.879319,0.850586,0.00140581,33.05
45,0.614011,0.950098,0.845686,0.863281,0.00134321,33.00
46,0.611223,0.951589,0.843440,0.862500,0.00128088,33.03
47,0.606191,0.953659,0.855789,0.857227,0.00121893,33.01
48,0.596401,0.959001,0.853646,0.863477,0.00115747,33.06
49,0.588752,0.961694,0.853732,0.863477,0.00109662,32.85
50,0.584727,0.963341,0.830779,0.872656,0.00103647,32.95
51,0.576680,0.967303,0.821253,0.876563,0.00097714,33.00
52,0.571709,0.968950,0.852380,0.867188,0.00091873,33.00
53,0.568269,0.971911,0.818328,0.878320,0.00086133,33.02
54,0.561414,0.974159,0.838071,0.872656,0.00080506,32.99
55,0.557852,0.975516,0.822391,0.881641,0.00075000,33.11
56,0.548543,0.979612,0.829949,0.877344,0.00069626,33.04
57,0.546784,0.980814,0.808148,0.890039,0.00064393,33.07
58,0.541834,0.982528,0.836485,0.883203,0.00059310,33.39
59,0.538557,0.983885,0.822995,0.883984,0.00054386,33.01
60,0.531992,0.986690,0.833778,0.886133,0.00049630,32.88
61,0.529630,0.987780,0.839256,0.882617,0.00045050,32.77
62,0.527395,0.989450,0.825853,0.887109,0.00040655,33.23
63,0.522951,0.990808,0.835004,0.886523,0.00036451,33.73
64,0.520935,0.991720,0.827945,0.886133,0.00032446,32.89
65,0.517465,0.993567,0.826068,0.889844,0.00028647,32.49
66,0.517135,0.993056,0.821581,0.889258,0.00025062,34.23
67,0.513981,0.994814,0.817564,0.892969,0.00021695,34.25
68,0.512977,0.995259,0.832143,0.889062,0.00018554,34.72
69,0.510224,0.996572,0.828628,0.891406,0.00015643,33.25
70,0.510489,0.996149,0.826571,0.892578,0.00012968,32.75
71,0.509513,0.997062,0.831555,0.890039,0.00010534,32.98
72,0.508353,0.997285,0.825614,0.891992,0.00008344,33.49
73,0.507769,0.997529,0.823726,0.894141,0.00006402,34.68
74,0.506856,0.997975,0.824319,0.891602,0.00004713,37.98
75,0.506597,0.997952,0.826394,0.892578,0.00003278,32.91
76,0.505968,0.998353,0.824976,0.891602,0.00002101,32.68
77,0.505809,0.998397,0.824480,0.892188,0.00001183,36.26
78,0.505442,0.998464,0.824950,0.892578,0.00000526,33.51
79,0.505565,0.998242,0.824806,0.892383,0.00000132,34.86
80,0.505367,0.998687,0.826755,0.890625,0.00000000,33.80
