epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,1.741007,0.426260,1.618616,0.498633,0.00120000,32.91
2,1.549038,0.516960,1.391010,0.596680,0.00180000,31.77
3,1.421803,0.582421,1.339386,0.616406,0.00240000,33.26
4,1.340494,0.618857,1.299622,0.641797,0.00300000,33.37
5,1.294161,0.641426,1.256991,0.666797,0.00300000,32.63
6,1.226723,0.673433,1.203846,0.688477,0.00299868,31.87
7,1.178805,0.694066,1.192853,0.686328,0.00299474,36.02
8,1.144541,0.711717,1.094804,0.728906,0.00298817,39.58
9,1.114956,0.725939,1.111373,0.724414,0.00297899,36.46
10,1.086104,0.736512,1.062193,0.744141,0.00296722,31.96
11,1.061179,0.750089,1.055381,0.750781,0.00295287,35.97
12,1.049624,0.755698,1.046500,0.761328,0.00293598,32.16
13,1.026550,0.764913,1.050692,0.750000,0.00291656,33.06
14,1.007285,0.771746,0.996397,0.778906,0.00289466,40.76
15,0.996348,0.779848,1.026752,0.767969,0.00287032,32.39
16,0.985535,0.783587,0.981381,0.788086,0.00284357,33.40
17,0.967466,0.791956,1.001751,0.771289,0.00281446,32.99
18,0.953375,0.798210,0.956117,0.796875,0.00278305,32.89
19,0.949858,0.800169,1.045341,0.758594,0.00274938,32.02
20,0.933222,0.807292,1.002127,0.774609,0.00271353,32.53
21,0.922388,0.813301,0.955711,0.797852,0.00267554,31.98
22,0.919433,0.813435,0.959853,0.798242,0.00263549,31.19
23,0.908287,0.819400,0.927712,0.804883,0.00259345,31.39
24,0.902197,0.821648,0.901695,0.817969,0.00254950,31.13
25,0.887327,0.829127,0.952849,0.792188,0.00250370,31.21
26,0.876294,0.834802,0.908008,0.818164,0.00245614,31.70
27,0.869763,0.835559,0.883162,0.829102,0.00240690,32.02
28,0.859047,0.841124,0.897702,0.819336,0.00235607,31.66
29,0.855415,0.844151,0.903137,0.820117,0.00230374,31.64
30,0.842634,0.848135,0.885836,0.825000,0.00225000,31.72
31,0.835174,0.852586,0.911514,0.814844,0.00219494,31.69
32,0.828334,0.856170,0.883204,0.827734,0.00213867,31.65
33,0.823764,0.856949,0.899159,0.820703,0.00208127,31.70
34,0.811427,0.863381,0.871314,0.838281,0.00202286,31.64
35,0.804805,0.865585,0.852940,0.844141,0.00196353,31.72
36,0.790186,0.871862,0.856256,0.842773,0.00190338,31.56
37,0.784658,0.873130,0.894766,0.825391,0.00184253,31.79
38,0.779594,0.875712,0.864137,0.840625,0.00178107,31.60
39,0.769439,0.880342,0.839427,0.850195,0.00171912,31.65
40,0.759799,0.888177,0.848820,0.850000,0.00165679,31.61
41,0.751328,0.888867,0.866941,0.838672,0.00159419,31.77
42,0.748226,0.892495,0.815312,0.860742,0.00153141,31.58
43,0.735408,0.896479,0.862547,0.843164,0.00146859,31.68
44,0.728712,0.900085,0.841040,0.847656,0.00140581,31.67
45,0.719919,0.903379,0.820412,0.857617,0.00134321,31.63
46,0.710840,0.907229,0.810016,0.862305,0.00128088,31.58
47,0.703885,0.910412,0.815876,0.862109,0.00121893,31.63
48,0.692769,0.914129,0.810965,0.863281,0.00115747,31.64
49,0.683432,0.919093,0.812432,0.866211,0.00109662,31.69
50,0.674323,0.923567,0.826902,0.861719,0.00103647,31.60
51,0.669401,0.925837,0.801797,0.871680,0.00097714,31.62
52,0.655184,0.932447,0.810003,0.871289,0.00091873,31.63
53,0.648582,0.935341,0.789346,0.877344,0.00086133,31.55
54,0.642296,0.938657,0.808296,0.873437,0.00080506,31.58
55,0.631713,0.942953,0.829635,0.864844,0.00075000,31.61
56,0.623890,0.946092,0.822697,0.872070,0.00069626,31.67
57,0.617489,0.949386,0.810745,0.871875,0.00064393,31.58
58,0.605572,0.955462,0.808718,0.873047,0.00059310,31.61
59,0.599182,0.957287,0.808156,0.877344,0.00054386,31.55
60,0.589220,0.961494,0.807006,0.881836,0.00049630,31.63
61,0.585591,0.963853,0.817305,0.876563,0.00045050,31.63
62,0.577959,0.966769,0.817451,0.878516,0.00040655,31.68
63,0.569288,0.971065,0.813244,0.880664,0.00036451,31.53
64,0.567273,0.972000,0.801172,0.885156,0.00032446,31.67
65,0.556759,0.976540,0.819880,0.882422,0.00028647,31.67
66,0.554546,0.977431,0.816681,0.884570,0.00025062,31.64
67,0.548183,0.980591,0.815832,0.886719,0.00021695,31.69
68,0.547446,0.980970,0.812062,0.887695,0.00018554,31.61
69,0.540557,0.984286,0.819547,0.883789,0.00015643,31.66
70,0.535523,0.986534,0.818495,0.885352,0.00012968,32.25
71,0.535580,0.985844,0.819967,0.883398,0.00010534,31.61
72,0.532201,0.988159,0.819543,0.886133,0.00008344,31.63
73,0.528744,0.989650,0.823041,0.888477,0.00006402,31.73
74,0.527650,0.989828,0.823040,0.888281,0.00004713,31.62
75,0.527106,0.989784,0.819572,0.889453,0.00003278,31.84
76,0.525431,0.990785,0.819827,0.890430,0.00002101,31.64
77,0.523531,0.991609,0.823595,0.888281,0.00001183,31.67
78,0.522647,0.992098,0.822548,0.888672,0.00000526,31.62
79,0.523112,0.991809,0.821709,0.890234,0.00000132,31.65
80,0.523499,0.991587,0.824239,0.889648,0.00000000,31.66
